2026-02-27 22:41:02,25.705,36.15,25.6475,25.7633,35.9823,36.318,37.8,55,100
2026-02-27 22:41:02,25.695,36.155,25.5871,25.8036,36.0113,36.2982,37.8,55,100
2026-02-27 22:41:03,25.715,36.157,25.6274,25.8036,36.0281,36.286,37.8,55,100
2026-02-27 22:41:03,25.675,36.092,25.6072,25.7432,35.9655,36.2188,37.8,55,100
2026-02-27 22:41:03,25.746,36.1,25.6475,25.8439,35.9945,36.2051,37.8,55,100
2026-02-27 22:41:03,25.756,36.088,25.7079,25.8036,35.9762,36.2005,37.8,55,100
2026-02-27 22:41:04,25.685,36.069,25.6475,25.723,35.9823,36.1547,37.8,55,100
2026-02-27 22:41:04,25.715,36.047,25.5669,25.864,35.9365,36.1578,37.8,55,100
2026-02-27 22:41:04,25.645,36.052,25.5871,25.7029,35.9625,36.141,37.8,55,100
2026-02-27 22:41:04,25.705,36.033,25.6274,25.7835,35.9548,36.112,37.8,55,100
2026-02-27 22:41:05,25.665,36.03,25.6072,25.723,35.9533,36.1059,37.8,55,100
2026-02-27 22:41:05,25.665,36.054,25.5871,25.7432,35.9991,36.1089,37.8,55,100
2026-02-27 22:41:05,25.695,36.033,25.6274,25.7633,35.9915,36.0739,37.8,55,100
2026-02-27 22:41:05,25.695,36.014,25.6274,25.7633,35.967,36.0616,37.8,55,100
2026-02-27 22:41:06,25.695,36.008,25.6274,25.7633,35.967,36.0494,37.8,55,100
2026-02-27 22:41:06,25.736,36.025,25.6677,25.8036,35.9838,36.0662,37.8,55,100
2026-02-27 22:41:06,25.726,36.03,25.6274,25.8238,35.9792,36.08,37.8,55,100
2026-02-27 22:41:07,25.685,35.982,25.5871,25.7835,35.938,36.0266,37.8,55,100
2026-02-27 22:41:07,25.665,36.017,25.5468,25.7835,35.9945,36.0388,37.8,55,100
2026-02-27 22:41:07,25.685,35.995,25.5871,25.7835,35.9503,36.0388,37.8,55,100
2026-02-27 22:41:07,25.715,36.035,25.6475,25.7835,35.9823,36.0876,37.8,55,100
2026-02-27 22:41:08,25.715,36.011,25.6274,25.8036,35.967,36.054,37.8,55,100
2026-02-27 22:41:08,25.695,36.002,25.5871,25.8036,35.9625,36.0418,37.8,55,100
2026-02-27 22:41:08,25.685,36.014,25.6072,25.7633,35.9777,36.0494,37.8,55,100
2026-02-27 22:41:08,25.685,35.965,25.6072,25.7633,35.9289,36.0006,37.8,55,100
2026-02-27 22:41:09,25.695,35.99,25.6072,25.7835,35.9411,36.0388,37.8,55,100
2026-02-27 22:41:09,25.665,35.987,25.6274,25.7029,35.9426,36.0311,37.8,55,100
2026-02-27 22:41:09,25.695,36.014,25.6072,25.7835,35.9899,36.0388,37.8,55,100
2026-02-27 22:41:09,25.715,36.017,25.6274,25.8036,35.9426,36.0906,37.8,55,100
2026-02-27 22:41:10,25.736,35.982,25.6677,25.8036,35.9228,36.0418,37.8,55,100
2026-02-27 22:41:10,25.675,35.988,25.6274,25.723,35.9426,36.0327,37.8,55,100
2026-02-27 22:41:10,25.736,35.995,25.6475,25.8238,35.9701,36.0189,37.8,55,100
2026-02-27 22:41:10,25.665,36.005,25.6072,25.723,35.9655,36.0449,37.8,55,100
2026-02-27 22:41:11,25.695,36.002,25.5871,25.8036,35.9503,36.054,37.8,55,100
2026-02-27 22:41:11,25.695,35.996,25.6072,25.7835,35.9411,36.051,37.8,55,100
2026-02-27 22:41:11,25.715,35.986,25.6072,25.8238,35.9289,36.0433,37.8,55,100
2026-02-27 22:41:12,25.695,35.984,25.6072,25.7835,35.9167,36.051,37.8,55,100
2026-02-27 22:41:12,25.705,35.991,25.6274,25.7835,35.9426,36.0388,37.8,55,100
2026-02-27 22:41:12,25.726,35.975,25.6475,25.8036,35.9335,36.0174,37.8,55,100
2026-02-27 22:41:12,25.705,35.967,25.6072,25.8036,35.9289,36.0052,37.8,55,100
2026-02-27 22:41:13,25.685,35.977,25.6072,25.7633,35.9167,36.0372,37.8,55,100
2026-02-27 22:41:13,25.665,35.981,25.6475,25.6828,35.9457,36.0159,37.8,55,100
2026-02-27 22:41:13,25.695,35.991,25.6475,25.7432,35.9335,36.0479,37.8,55,100
2026-02-27 22:41:13,25.685,35.959,25.6274,25.7432,35.9182,35.9991,37.8,55,100
2026-02-27 22:41:14,25.675,35.976,25.6475,25.7029,35.9335,36.0189,37.8,55,100
2026-02-27 22:41:14,25.675,35.97,25.6475,25.7029,35.9335,36.0067,37.8,55,100
2026-02-27 22:41:14,25.685,35.995,25.5669,25.8036,35.9487,36.0418,37.8,55,100
2026-02-27 22:41:14,25.685,36.001,25.6475,25.723,35.9579,36.0449,37.8,55,100
2026-02-27 22:41:15,25.665,35.969,25.5669,25.7633,35.9121,36.025,37.8,55,100
2026-02-27 22:41:15,25.675,35.97,25.6072,25.7432,35.9167,36.0235,37.8,55,100
